sales,price,brand,feat,tropicana
28096,2.5,tropicana,1,1
12416,2.5799999,tropicana,0,1
5376,3.1900001,tropicana,0,1
9792,2.6700001,tropicana,0,1
16960,2.3900001,tropicana,1,1
8320,3.1900001,tropicana,0,1
6912,3.1900001,tropicana,0,1
6976,3.1900001,tropicana,0,1
7232,3.1900001,tropicana,0,1
51520,2.49,tropicana,1,1
22272,2.21,tropicana,0,1
46144,1.99,tropicana,1,1
4352,3.1900001,tropicana,1,1
17280,2.6900001,tropicana,0,1
5696,3.1900001,tropicana,0,1
6848,3.1900001,tropicana,0,1
4416,3.1900001,tropicana,0,1
4672,3.1600001,tropicana,0,1
7168,3.0899999,tropicana,1,1
5056,3.1900001,tropicana,0,1
13376,2.79,tropicana,1,1
8128,2.75,tropicana,0,1
19456,2.49,tropicana,1,1
10048,2.6400001,tropicana,0,1
6336,3.1900001,tropicana,0,1
16192,2.79,tropicana,1,1
5824,2.97,tropicana,0,1
10560,1.59,dominicks,1,0
8000,2.6900001,dominicks,0,0
6848,2.0899999,dominicks,1,0
2880,2.0899999,dominicks,0,0
1600,2.0899999,dominicks,0,0
25344,1.89,dominicks,1,0
10752,1.89,dominicks,0,0
6656,1.89,dominicks,0,0
6592,1.79,dominicks,0,0
1728,2.6900001,dominicks,0,0
33792,1.24,dominicks,1,0
1920,1.59,dominicks,0,0
8960,1.59,dominicks,1,0
11392,1.29,dominicks,0,0
28416,.99000001,dominicks,0,0
17152,1.59,dominicks,1,0
26560,2.49,dominicks,1,0
6336,2.6900001,dominicks,0,0
26368,1.39,dominicks,1,0
896,2.6900001,dominicks,0,0
1472,2.6900001,dominicks,0,0
1344,2.6900001,dominicks,0,0
111680,.99000001,dominicks,1,0
1856,2.6900001,dominicks,0,0
5568,2.6900001,dominicks,0,0
32064,1.49,dominicks,1,0
4352,1.49,dominicks,0,0
704,2.6900001,dominicks,0,0
13760,2.6900001,dominicks,0,0
43328,1.09,dominicks,1,0
57600,1.09,dominicks,1,0
704,2.6900001,dominicks,0,0
6016,2.6900001,dominicks,0,0
10368,1.59,dominicks,1,0
12608,1.59,dominicks,0,0
6336,1.59,dominicks,0,0
140736,.99000001,dominicks,1,0
960,2.6900001,dominicks,1,0
1216,2.6900001,dominicks,0,0
1664,2.6900001,dominicks,0,0
4992,2.6900001,dominicks,0,0
27968,1.59,dominicks,1,0
12160,1.59,dominicks,0,0
2240,2.6900001,dominicks,0,0
5504,1.49,dominicks,1,0
8832,1.29,dominicks,0,0
2624,1.99,dominicks,0,0
10432,1.99,dominicks,0,0
8320,1.59,dominicks,0,0
6784,1.99,dominicks,0,0
60544,.99000001,dominicks,1,0
20608,.99000001,dominicks,0,0
16064,1.39,dominicks,0,0
12480,1.39,dominicks,0,0
17024,1.39,dominicks,0,0
13440,1.59,dominicks,1,0
10112,1.59,dominicks,0,0
9088,1.5599999,dominicks,0,0
22848,1.49,dominicks,1,0
6976,1.65,dominicks,0,0
4160,1.99,dominicks,0,0
3328,1.83,dominicks,0,0
12096,1.6900001,dominicks,1,0
6208,1.76,dominicks,0,0
3008,1.99,dominicks,0,0
19456,1.5,dominicks,1,0
16768,1.59,dominicks,0,0
13568,1.59,dominicks,1,0
6080,1.61,dominicks,0,0
10432,1.6900001,dominicks,1,0
11712,1.6900001,dominicks,0,0
4032,1.76,dominicks,0,0
6336,1.8200001,dominicks,0,0
13632,1.47,dominicks,0,0
45120,1.29,dominicks,0,0
9984,1.39,dominicks,0,0
4800,1.8200001,dominicks,0,0
11776,1.6900001,dominicks,0,0
11584,1.54,dominicks,0,0
51264,1.39,dominicks,1,0
14976,1.4400001,dominicks,0,0
30784,1.59,dominicks,0,0
12480,1.6,dominicks,0,0
3264,1.99,dominicks,0,0
8768,1.48,dominicks,0,0
70848,1.29,dominicks,1,0
18560,1.42,dominicks,0,0
9152,1.99,dominicks,0,0
9600,2,dominicks,0,0
4800,2.0899999,dominicks,0,0
9664,1.6900001,dominicks,0,0
45568,1.6900001,dominicks,0,0
20992,1.74,dominicks,0,0
6592,2.0899999,dominicks,0,0
4992,2.05,dominicks,0,0
8064,1.24,dominicks,0,0
7360,1.61,dominicks,0,0
10048,1.4,dominicks,0,0
10112,1.91,dominicks,0,0
9152,1.6900001,dominicks,0,0
36288,1.49,dominicks,1,0
3776,1.99,dominicks,1,0
3328,1.97,dominicks,0,0
13824,1.36,dominicks,0,0
9024,1.1900001,dominicks,0,0
2048,2.0899999,dominicks,0,0
1984,2.0899999,dominicks,0,0
4160,1.77,dominicks,0,0
35264,1.49,dominicks,0,0
8640,1.8200001,dominicks,0,0
5888,3.6600001,tropicana,0,1
6976,3.6600001,tropicana,0,1
6528,3.6600001,tropicana,0,1
4928,3.6600001,tropicana,0,1
5312,3.6600001,tropicana,0,1
5120,3.6600001,tropicana,0,1
7936,3.6600001,tropicana,0,1
6080,3.6600001,tropicana,0,1
4160,3.6600001,tropicana,0,1
5888,3.6600001,tropicana,0,1
9536,3.29,tropicana,0,1
8320,3.29,tropicana,0,1
8000,3.29,tropicana,0,1
5824,3.6600001,tropicana,0,1
10624,3.29,tropicana,1,1
6656,3.29,tropicana,0,1
5184,3.51,tropicana,0,1
4928,3.51,tropicana,0,1
5888,3.51,tropicana,0,1
5312,3.51,tropicana,0,1
9984,3.6600001,tropicana,0,1
8448,2.99,tropicana,0,1
10880,2.99,tropicana,0,1
5696,3.3900001,tropicana,0,1
5696,3.3900001,tropicana,0,1
32384,2.3900001,tropicana,0,1
10752,2.3900001,tropicana,0,1
6912,3.3900001,tropicana,0,1
13440,2.5899999,tropicana,0,1
7808,2.5899999,tropicana,0,1
5248,3.3900001,tropicana,0,1
6208,3.3900001,tropicana,0,1
21440,2.49,tropicana,0,1
7360,3.3900001,tropicana,0,1
6720,3.3900001,tropicana,0,1
6656,3.3900001,tropicana,0,1
6016,3.3900001,tropicana,0,1
6144,3.3900001,tropicana,0,1
4928,3.3900001,tropicana,0,1
67712,1.6900001,tropicana,1,1
8640,3.3900001,tropicana,0,1
35520,1.99,tropicana,1,1
9664,3.3900001,tropicana,0,1
49088,1.99,tropicana,1,1
14912,1.99,tropicana,0,1
6464,3.3900001,tropicana,0,1
25024,2.29,tropicana,1,1
6272,3.3900001,tropicana,0,1
5056,3.3900001,tropicana,0,1
47616,1.99,tropicana,0,1
13888,1.99,tropicana,0,1
6144,3.3900001,tropicana,0,1
9344,3.3900001,tropicana,0,1
32896,1.99,tropicana,0,1
21056,1.99,tropicana,0,1
15360,1.99,tropicana,0,1
8000,3.3900001,tropicana,1,1
21120,2.1900001,tropicana,0,1
11904,2.1900001,tropicana,0,1
5056,3.3900001,tropicana,0,1
4608,3.3900001,tropicana,0,1
6016,3.3900001,tropicana,0,1
50752,1.99,tropicana,1,1
5632,3.3900001,tropicana,0,1
6400,3.3900001,tropicana,0,1
5440,2.99,tropicana,0,1
8128,2.9400001,tropicana,0,1
7232,2.9400001,tropicana,0,1
7168,2.9400001,tropicana,0,1
7872,2.9400001,tropicana,0,1
7552,2.99,tropicana,0,1
69504,1.99,tropicana,1,1
8960,2.99,tropicana,0,1
6912,2.99,tropicana,0,1
6656,2.99,tropicana,0,1
8192,2.99,tropicana,0,1
13440,2.3900001,tropicana,0,1
12160,2.3900001,tropicana,0,1
11840,2.29,tropicana,0,1
8640,2.29,tropicana,0,1
5888,2.99,tropicana,0,1
7424,2.99,tropicana,0,1
5632,2.99,tropicana,0,1
33600,1.99,tropicana,1,1
5376,2.99,tropicana,0,1
54272,1.99,tropicana,1,1
33600,1.79,tropicana,0,1
24448,1.79,tropicana,0,1
22784,1.79,tropicana,0,1
19008,2.99,tropicana,0,1
15808,2.5,tropicana,1,1
14144,2.5,tropicana,0,1
9600,2.99,tropicana,0,1
10112,2.99,tropicana,0,1
31872,2.24,tropicana,1,1
9280,2.99,tropicana,0,1
7680,2.99,tropicana,0,1
8704,2.99,tropicana,0,1
9920,2.99,tropicana,0,1
91968,2.49,tropicana,1,1
44096,2.49,tropicana,0,1
7296,2.99,tropicana,1,1
12928,2.6900001,tropicana,0,1
6848,2.99,tropicana,0,1
8064,2.99,tropicana,0,1
4992,2.99,tropicana,0,1
7360,2.99,tropicana,0,1
8384,2.8900001,tropicana,1,1
8832,2.99,tropicana,0,1
17728,2.79,tropicana,1,1
9600,2.99,tropicana,0,1
25664,2.49,tropicana,1,1
9984,2.49,tropicana,0,1
8576,2.99,tropicana,0,1
13184,2.78,tropicana,1,1
7488,2.78,tropicana,0,1
1792,1.59,dominicks,1,0
2496,2.49,dominicks,0,0
2944,2.49,dominicks,0,0
1024,2.49,dominicks,0,0
4224,2.49,dominicks,0,0
4544,2.0899999,dominicks,1,0
1728,2.0899999,dominicks,0,0
1216,2.0899999,dominicks,0,0
1152,2.0899999,dominicks,0,0
30144,1.89,dominicks,1,0
8960,1.89,dominicks,0,0
8192,1.89,dominicks,0,0
6528,1.79,dominicks,0,0
34688,1.79,dominicks,1,0
4672,1.79,dominicks,0,0
1088,2.49,dominicks,0,0
69440,1.24,dominicks,1,0
1280,1.59,dominicks,0,0
35456,1.59,dominicks,1,0
13824,1.29,dominicks,0,0
14208,.99000001,dominicks,0,0
29312,1.59,dominicks,1,0
52992,2.49,dominicks,1,0
15680,2.1900001,dominicks,0,0
43520,1.39,dominicks,1,0
3904,2.1900001,dominicks,0,0
896,2.1900001,dominicks,0,0
2240,2.1900001,dominicks,0,0
125760,.99000001,dominicks,1,0
1408,2.1900001,dominicks,0,0
7232,2.1900001,dominicks,0,0
41216,1.49,dominicks,1,0
9024,1.49,dominicks,0,0
1600,2.1900001,dominicks,0,0
2496,2.1900001,dominicks,0,0
6336,1.99,dominicks,1,0
56384,1.09,dominicks,1,0
1600,2.1900001,dominicks,0,0
2944,2.1900001,dominicks,0,0
13504,1.59,dominicks,1,0
5376,1.59,dominicks,0,0
6656,1.59,dominicks,0,0
95680,.99000001,dominicks,1,0
896,2.1900001,dominicks,1,0
1728,2.1900001,dominicks,0,0
1280,2.1900001,dominicks,0,0
5696,2.1900001,dominicks,0,0
28288,1.59,dominicks,1,0
4864,1.59,dominicks,0,0
2880,2.0899999,dominicks,0,0
5760,1.41,dominicks,1,0
15040,1.29,dominicks,0,0
5120,1.89,dominicks,0,0
3264,1.89,dominicks,0,0
9536,1.59,dominicks,1,0
6208,1.59,dominicks,0,0
6592,1.89,dominicks,0,0
63552,.99000001,dominicks,1,0
27968,.99000001,dominicks,0,0
21760,1.49,dominicks,1,0
2688,1.49,dominicks,0,0
10432,1.39,dominicks,0,0
9792,1.39,dominicks,0,0
8448,1.39,dominicks,0,0
6912,1.58,dominicks,0,0
8256,1.58,dominicks,0,0
28672,1.58,dominicks,1,0
4416,1.58,dominicks,0,0
1856,1.58,dominicks,0,0
6528,1.58,dominicks,1,0
6080,1.58,dominicks,0,0
3456,1.58,dominicks,0,0
25856,1.58,dominicks,1,0
25728,1.58,dominicks,0,0
23552,1.58,dominicks,1,0
2944,1.58,dominicks,0,0
5888,1.58,dominicks,1,0
6848,1.58,dominicks,0,0
1792,1.58,dominicks,0,0
5248,1.58,dominicks,0,0
16768,1.58,dominicks,0,0
52160,1.58,dominicks,0,0
16640,1.58,dominicks,0,0
1344,1.58,dominicks,0,0
4608,1.58,dominicks,0,0
12672,1.58,dominicks,0,0
48640,1.58,dominicks,1,0
13248,1.58,dominicks,0,0
29248,1.58,dominicks,0,0
4608,1.58,dominicks,0,0
3136,1.58,dominicks,0,0
13184,1.58,dominicks,0,0
67712,1.29,dominicks,1,0
18880,1.29,dominicks,0,0
6208,1.89,dominicks,0,0
5952,1.89,dominicks,0,0
4160,1.99,dominicks,0,0
23488,1.6900001,dominicks,0,0
60480,1.6900001,dominicks,0,0
20416,1.6900001,dominicks,0,0
6336,1.99,dominicks,0,0
1408,1.99,dominicks,0,0
4672,1.99,dominicks,0,0
19520,1.29,dominicks,0,0
7872,1.99,dominicks,0,0
5184,1.6900001,dominicks,0,0
42240,1.49,dominicks,1,0
6592,1.89,dominicks,1,0
2112,1.99,dominicks,0,0
21248,1.79,dominicks,0,0
1856,1.29,dominicks,0,0
3712,1.99,dominicks,0,0
2688,1.85,dominicks,0,0
6464,1.85,dominicks,0,0
40896,1.49,dominicks,0,0
6144,1.85,dominicks,0,0
8896,3.1900001,tropicana,0,1
7296,3.1900001,tropicana,0,1
10368,3.1900001,tropicana,0,1
6976,3.1900001,tropicana,0,1
6464,3.1900001,tropicana,0,1
8192,3.1900001,tropicana,0,1
7936,3.1900001,tropicana,0,1
6656,3.1900001,tropicana,0,1
8256,3.1900001,tropicana,0,1
5568,3.1900001,tropicana,0,1
7488,3.1900001,tropicana,0,1
6144,3.1900001,tropicana,0,1
11008,3.1900001,tropicana,0,1
5760,3.1900001,tropicana,0,1
10112,3.1900001,tropicana,0,1
8448,3.1900001,tropicana,0,1
8448,3.1900001,tropicana,1,1
7424,3.1900001,tropicana,0,1
5824,3.04,tropicana,0,1
6656,3.04,tropicana,0,1
6272,3.04,tropicana,0,1
6912,3.04,tropicana,0,1
10496,3.1900001,tropicana,0,1
11840,2.99,tropicana,0,1
9664,2.99,tropicana,0,1
6272,2.99,tropicana,0,1
7168,2.99,tropicana,0,1
29504,2.3900001,tropicana,0,1
8704,2.3900001,tropicana,0,1
9280,2.99,tropicana,0,1
12224,2.5899999,tropicana,0,1
10368,2.5899999,tropicana,0,1
8128,2.99,tropicana,0,1
5952,2.99,tropicana,0,1
21696,2.49,tropicana,0,1
7808,2.99,tropicana,0,1
8128,2.99,tropicana,0,1
7424,2.99,tropicana,0,1
5952,2.99,tropicana,0,1
7616,2.99,tropicana,0,1
5312,2.99,tropicana,0,1
161792,1.49,tropicana,1,1
17280,2.99,tropicana,0,1
47040,1.99,tropicana,1,1
14464,2.99,tropicana,0,1
52928,1.99,tropicana,1,1
21184,1.99,tropicana,0,1
7360,2.99,tropicana,0,1
15744,2.29,tropicana,1,1
46912,1.99,tropicana,0,1
18240,1.99,tropicana,0,1
6464,2.99,tropicana,0,1
8512,2.99,tropicana,0,1
28416,1.99,tropicana,0,1
16960,1.99,tropicana,0,1
8320,1.99,tropicana,0,1
11136,2.99,tropicana,1,1
27712,2.1900001,tropicana,0,1
7744,2.1900001,tropicana,0,1
5184,2.99,tropicana,0,1
6272,2.99,tropicana,0,1
7744,2.99,tropicana,0,1
53184,1.99,tropicana,1,1
6784,2.99,tropicana,0,1
8000,2.49,tropicana,1,1
6592,2.99,tropicana,0,1
5248,2.99,tropicana,0,1
6592,2.9400001,tropicana,0,1
5888,2.9400001,tropicana,0,1
6336,2.9400001,tropicana,0,1
5888,2.9400001,tropicana,0,1
6080,2.9400001,tropicana,0,1
6848,2.99,tropicana,0,1
54016,1.99,tropicana,1,1
10368,2.99,tropicana,0,1
5568,2.99,tropicana,0,1
4864,2.99,tropicana,0,1
7232,2.99,tropicana,0,1
15232,2.3900001,tropicana,0,1
47040,2.3900001,tropicana,0,1
9280,2.29,tropicana,0,1
6720,2.29,tropicana,0,1
5056,2.8900001,tropicana,0,1
6080,2.8900001,tropicana,0,1
10496,2.8900001,tropicana,0,1
39040,1.99,tropicana,1,1
4480,2.8900001,tropicana,0,1
61760,1.99,tropicana,1,1
15360,1.79,tropicana,0,1
54976,1.79,tropicana,0,1
34368,1.79,tropicana,0,1
10752,2.8900001,tropicana,0,1
20096,2.5,tropicana,1,1
16192,2.5,tropicana,0,1
6528,2.8900001,tropicana,0,1
8320,2.8900001,tropicana,0,1
30784,2.1600001,tropicana,1,1
18048,2.8900001,tropicana,0,1
12864,2.8900001,tropicana,0,1
7168,2.8900001,tropicana,0,1
9024,2.8900001,tropicana,0,1
84992,2.49,tropicana,1,1
14144,2.49,tropicana,0,1
7488,2.8900001,tropicana,1,1
12352,2.6900001,tropicana,0,1
5696,2.8900001,tropicana,0,1
7680,2.8900001,tropicana,0,1
5440,2.8900001,tropicana,0,1
5632,2.8900001,tropicana,0,1
8960,2.79,tropicana,1,1
6080,2.8900001,tropicana,0,1
8576,2.79,tropicana,1,1
8000,2.8900001,tropicana,0,1
21760,2.49,tropicana,1,1
12800,2.49,tropicana,0,1
10112,2.8900001,tropicana,0,1
10304,2.79,tropicana,1,1
6400,2.8900001,tropicana,0,1
14336,1.59,dominicks,1,0
6400,2.29,dominicks,0,0
3968,2.29,dominicks,0,0
4352,2.29,dominicks,0,0
3520,2.29,dominicks,0,0
6464,2.29,dominicks,0,0
5952,2.29,dominicks,0,0
8832,2.0899999,dominicks,1,0
7232,2.0899999,dominicks,0,0
5504,2.0899999,dominicks,0,0
4800,2.0899999,dominicks,0,0
52672,1.89,dominicks,1,0
16448,1.89,dominicks,0,0
19072,1.89,dominicks,0,0
13376,1.79,dominicks,0,0
61440,1.79,dominicks,1,0
13760,1.79,dominicks,0,0
3136,2.29,dominicks,0,0
186176,1.14,dominicks,1,0
3712,1.59,dominicks,0,0
35776,1.59,dominicks,1,0
26880,1.29,dominicks,0,0
71680,.99000001,dominicks,0,0
25088,1.59,dominicks,1,0
91456,2.29,dominicks,1,0
23808,1.89,dominicks,0,0
89856,1.39,dominicks,1,0
12224,1.89,dominicks,0,0
3776,1.89,dominicks,0,0
13824,1.89,dominicks,0,0
251072,.99000001,dominicks,1,0
4864,1.89,dominicks,0,0
10176,1.89,dominicks,0,0
105344,1.49,dominicks,1,0
33600,1.49,dominicks,0,0
4736,1.89,dominicks,0,0
10304,1.89,dominicks,0,0
5056,1.89,dominicks,1,0
179968,.94,dominicks,1,0
4992,1.89,dominicks,0,0
6400,1.89,dominicks,0,0
14912,1.59,dominicks,1,0
34624,1.59,dominicks,0,0
10368,1.59,dominicks,0,0
194880,.99000001,dominicks,1,0
5696,1.89,dominicks,1,0
7168,1.89,dominicks,0,0
2880,1.89,dominicks,0,0
12288,1.89,dominicks,0,0
9280,1.6900001,dominicks,0,0
25856,1.26,dominicks,1,0
19264,1.29,dominicks,0,0
6848,1.6900001,dominicks,0,0
12928,1.6900001,dominicks,0,0
44032,1.59,dominicks,1,0
25408,1.59,dominicks,0,0
38336,1.6900001,dominicks,0,0
152384,.99000001,dominicks,1,0
54464,.99000001,dominicks,0,0
47680,1.49,dominicks,1,0
14720,1.49,dominicks,0,0
53248,1.39,dominicks,0,0
40576,1.39,dominicks,0,0
25856,1.39,dominicks,0,0
24064,1.58,dominicks,1,0
15680,1.58,dominicks,0,0
16576,1.58,dominicks,0,0
49664,1.58,dominicks,1,0
10752,1.58,dominicks,0,0
9792,1.58,dominicks,0,0
7104,1.58,dominicks,0,0
9216,1.58,dominicks,1,0
12608,1.58,dominicks,0,0
16448,1.58,dominicks,0,0
27968,1.58,dominicks,1,0
37824,1.58,dominicks,0,0
33664,1.58,dominicks,1,0
17728,1.58,dominicks,0,0
25088,1.58,dominicks,1,0
13184,1.58,dominicks,0,0
3136,1.58,dominicks,0,0
5696,1.58,dominicks,0,0
19008,1.58,dominicks,0,0
121664,1.58,dominicks,0,0
38848,1.58,dominicks,0,0
6144,1.58,dominicks,0,0
13632,1.58,dominicks,0,0
9792,1.58,dominicks,0,0
86912,1.58,dominicks,1,0
24512,1.58,dominicks,0,0
58048,1.58,dominicks,0,0
13952,1.58,dominicks,0,0
15168,1.58,dominicks,0,0
14592,1.58,dominicks,0,0
145088,1.29,dominicks,1,0
43712,1.29,dominicks,0,0
20608,1.6900001,dominicks,0,0
18752,1.6900001,dominicks,0,0
20160,1.79,dominicks,0,0
18688,1.6900001,dominicks,0,0
133824,1.6900001,dominicks,0,0
63488,1.6900001,dominicks,0,0
71040,1.79,dominicks,0,0
15360,1.79,dominicks,0,0
17728,1.79,dominicks,0,0
24256,1.29,dominicks,0,0
19968,1.79,dominicks,0,0
15936,1.6900001,dominicks,0,0
76352,1.49,dominicks,1,0
17408,1.6900001,dominicks,1,0
17536,1.79,dominicks,0,0
31232,1.59,dominicks,0,0
19200,1.29,dominicks,0,0
12800,1.79,dominicks,0,0
15296,1.79,dominicks,0,0
20992,1.79,dominicks,0,0
73856,1.49,dominicks,0,0
16192,1.79,dominicks,0,0
8000,3.1900001,tropicana,0,1
8768,3.1900001,tropicana,0,1
10240,3.1900001,tropicana,0,1
9920,3.1900001,tropicana,0,1
8256,3.1900001,tropicana,0,1
8704,3.1900001,tropicana,0,1
9600,3.1900001,tropicana,0,1
10048,3.1900001,tropicana,0,1
9024,3.1900001,tropicana,0,1
8896,3.1900001,tropicana,0,1
7360,3.1900001,tropicana,0,1
8960,3.1900001,tropicana,0,1
6848,3.1900001,tropicana,0,1
9472,3.1900001,tropicana,0,1
9792,3.1900001,tropicana,0,1
9664,3.1900001,tropicana,0,1
9088,3.1900001,tropicana,1,1
8640,3.1900001,tropicana,0,1
9728,3.04,tropicana,0,1
8896,3.04,tropicana,0,1
7872,3.04,tropicana,0,1
8832,3.04,tropicana,0,1
13504,3.1900001,tropicana,0,1
18944,2.99,tropicana,0,1
15040,2.99,tropicana,0,1
9728,2.99,tropicana,0,1
7680,2.99,tropicana,0,1
41472,2.3900001,tropicana,0,1
15168,2.3900001,tropicana,0,1
12672,2.99,tropicana,0,1
17344,2.5899999,tropicana,0,1
10496,2.5899999,tropicana,0,1
9728,2.99,tropicana,0,1
10048,2.99,tropicana,0,1
29376,2.49,tropicana,0,1
11200,2.99,tropicana,0,1
7104,2.99,tropicana,0,1
8640,2.99,tropicana,0,1
10112,2.99,tropicana,0,1
9984,2.99,tropicana,0,1
8128,2.99,tropicana,0,1
124096,1.49,tropicana,1,1
10560,2.99,tropicana,0,1
68480,1.99,tropicana,1,1
15872,2.99,tropicana,0,1
70144,1.99,tropicana,1,1
25408,1.99,tropicana,0,1
5632,3.3900001,tropicana,0,1
5696,3.3900001,tropicana,0,1
76480,1.99,tropicana,0,1
7744,1.99,tropicana,0,1
6976,3.3900001,tropicana,0,1
14528,3.3900001,tropicana,0,1
79616,1.99,tropicana,0,1
24640,1.99,tropicana,0,1
7744,1.99,tropicana,0,1
7680,3.3900001,tropicana,1,1
30912,2.1900001,tropicana,0,1
6400,2.1900001,tropicana,0,1
5440,3.3900001,tropicana,0,1
6912,3.3900001,tropicana,0,1
6016,3.3900001,tropicana,0,1
84480,1.99,tropicana,1,1
8128,3.3900001,tropicana,0,1
10496,2.49,tropicana,1,1
7168,3.3900001,tropicana,0,1
7104,2.99,tropicana,0,1
6976,2.9400001,tropicana,0,1
8192,2.9400001,tropicana,0,1
8000,2.9400001,tropicana,0,1
7552,2.9400001,tropicana,0,1
7104,2.9400001,tropicana,0,1
10496,2.99,tropicana,0,1
75712,1.99,tropicana,1,1
9920,2.99,tropicana,0,1
6848,2.99,tropicana,0,1
7104,2.99,tropicana,0,1
8512,2.99,tropicana,0,1
15936,2.3900001,tropicana,0,1
19200,2.3900001,tropicana,0,1
12544,2.29,tropicana,0,1
14464,2.29,tropicana,0,1
8384,2.99,tropicana,0,1
7616,2.99,tropicana,0,1
7296,2.99,tropicana,0,1
36736,1.99,tropicana,1,1
7040,2.99,tropicana,0,1
67072,1.99,tropicana,1,1
16128,1.79,tropicana,0,1
30464,1.79,tropicana,0,1
25408,1.79,tropicana,0,1
14272,2.99,tropicana,0,1
18112,2.5,tropicana,1,1
16384,2.5,tropicana,0,1
7168,2.99,tropicana,0,1
9984,2.99,tropicana,0,1
45952,2.24,tropicana,1,1
7424,2.99,tropicana,0,1
8896,2.99,tropicana,0,1
7040,2.99,tropicana,0,1
80320,2.49,tropicana,1,1
38464,2.49,tropicana,0,1
95232,1.99,tropicana,1,1
6528,2.99,tropicana,1,1
11328,2.6900001,tropicana,0,1
7424,2.99,tropicana,0,1
5888,2.99,tropicana,0,1
8256,2.99,tropicana,0,1
8640,2.8900001,tropicana,1,1
5504,2.99,tropicana,0,1
8832,2.79,tropicana,1,1
11648,2.99,tropicana,0,1
38144,2.49,tropicana,1,1
14656,2.49,tropicana,0,1
8192,2.99,tropicana,0,1
13056,2.79,tropicana,1,1
5248,3.2,tropicana,0,1
8576,1.59,dominicks,1,0
1152,2.29,dominicks,0,0
896,2.29,dominicks,0,0
2176,2.29,dominicks,0,0
1152,2.29,dominicks,0,0
3328,2.29,dominicks,0,0
4928,2.29,dominicks,0,0
6144,2.0899999,dominicks,1,0
3712,2.0899999,dominicks,0,0
704,2.0899999,dominicks,0,0
960,2.0899999,dominicks,0,0
39168,1.89,dominicks,1,0
5632,1.89,dominicks,0,0
8128,1.89,dominicks,0,0
4608,1.79,dominicks,0,0
45184,1.79,dominicks,1,0
5824,1.79,dominicks,0,0
576,2.29,dominicks,0,0
95040,1.14,dominicks,1,0
704,1.59,dominicks,0,0
15040,1.59,dominicks,1,0
9408,1.29,dominicks,0,0
25920,.99000001,dominicks,0,0
14016,1.59,dominicks,1,0
51456,2.29,dominicks,1,0
8192,1.89,dominicks,0,0
53760,1.39,dominicks,1,0
5056,1.89,dominicks,0,0
1856,1.89,dominicks,0,0
