pclass,survived,sex,age,fare
first,1,female,27,247.5208
first,1,female,48,106.425
first,1,female,48,39.599998
first,1,male,49,56.929199
first,0,male,39,29.700001
first,1,female,23,83.158302
first,1,female,38,227.52499
first,1,female,54,78.266701
first,0,female,36,31.679199
first,0,male,,221.77921
first,1,female,,31.6833
first,1,female,,110.8833
first,1,male,36,26.387501
first,0,male,30,27.75
first,1,female,24,263
first,1,female,28,263
first,1,female,23,263
first,0,male,19,263
first,0,male,64,263
first,1,female,60,263
first,1,female,30,56.929199
first,0,male,,26.549999
first,1,male,50,133.64999
first,1,male,43,27.7208
first,1,female,,133.64999
first,1,female,22,49.5
first,1,male,60,79.199997
first,1,female,48,79.199997
first,0,male,,0
first,0,male,37,53.099998
first,1,female,35,53.099998
first,0,male,47,38.5
first,1,female,35,211.5
first,1,female,22,59.400002
first,1,female,45,59.400002
first,0,male,24,79.199997
first,1,male,49,89.104202
first,1,female,,89.104202
first,0,male,71,34.654202
first,1,male,53,28.5
first,1,female,19,30
first,0,male,38,153.46249
first,1,female,58,153.46249
first,1,male,23,63.358299
first,1,female,45,63.358299
first,0,male,46,79.199997
first,1,male,25,55.4417
first,1,female,25,55.4417
first,1,male,48,76.729202
first,1,female,49,76.729202
first,0,male,,42.400002
first,0,male,45,83.474998
first,1,female,35,83.474998
first,0,male,40,0
first,1,male,27,76.729202
first,1,male,,30
first,1,female,24,83.158302
first,0,male,55,93.5
first,1,female,52,93.5
first,0,male,42,42.5
first,0,male,,51.862499
first,0,male,55,50
first,1,female,44,57.979198
first,1,female,51,77.958298
first,0,male,42,52
first,1,female,35,52
first,1,male,35,26.549999
first,1,male,38,90
first,0,male,,30.695801
first,1,female,35,90
first,1,female,38,80
first,0,female,50,28.7125
first,1,male,49,0
first,0,male,46,26
first,0,male,50,26
first,0,male,32.5,211.5
first,0,male,58,29.700001
first,0,male,41,51.862499
first,1,female,,51.862499
first,1,male,42,52.554199
first,1,female,45,52.554199
first,0,male,,26.549999
first,1,female,39,211.33749
first,1,female,49,25.929199
first,1,female,30,106.425
first,1,male,35,512.32922
first,0,male,,27.7208
first,0,male,42,26.549999
first,1,female,55,27.7208
first,1,female,51,39.400002
first,0,male,29,30
first,1,female,21,77.958298
first,0,male,30,45.5
first,1,female,58,146.5208
first,0,male,30,26
first,1,male,,29.700001
first,0,male,19,53.099998
first,1,female,18,53.099998
first,1,female,24,49.5042
first,0,male,46,75.241699
first,0,male,54,51.862499
first,1,male,36,26.2875
first,0,male,28,82.170799
first,1,female,,82.170799
first,0,male,65,26.549999
first,0,male,44,90
first,1,female,33,90
first,1,female,37,90
first,1,male,30,57.75
first,0,male,55,30.5
first,0,male,47,42.400002
first,0,male,37,29.700001
first,1,female,31,113.275
first,1,female,23,113.275
first,0,male,58,113.275
first,1,female,19,26.2833
first,0,male,64,26
first,1,female,39,108.9
first,1,male,,25.741699
first,1,female,22,61.979198
first,0,male,65,61.979198
first,0,male,28.5,27.7208
first,0,male,,0
first,0,male,45.5,28.5
first,0,male,23,93.5
first,0,male,29,66.599998
first,1,female,22,66.599998
first,0,male,18,108.9
first,1,female,30,93.5
first,1,male,52,30.5
first,0,male,47,52
first,1,female,56,83.158302
first,0,male,38,0
first,1,male,,39.599998
first,0,male,22,135.6333
first,0,male,,227.52499
first,1,female,43,211.33749
first,0,male,31,50.4958
first,1,male,45,26.549999
first,0,male,,50
first,1,female,33,27.7208
first,0,male,46,79.199997
first,0,male,36,40.125
first,1,female,33,86.5
first,0,male,55,59.400002
first,1,female,54,59.400002
first,0,male,33,26.549999
first,1,female,18,262.375
first,1,female,21,262.375
first,0,male,61,262.375
first,1,female,48,262.375
first,1,male,,30.5
first,1,female,24,69.300003
first,1,male,,26
first,1,female,35,57.75
first,1,female,30,31
first,1,male,34,26.549999
first,1,female,40,153.46249
first,1,male,35,26.2875
first,0,male,50,55.900002
first,1,female,39,55.900002
first,1,male,56,35.5
first,1,male,28,35.5
first,0,male,56,26.549999
first,0,male,56,30.695801
first,0,male,24,60
first,0,male,,26
first,1,female,18,60
first,1,male,24,82.266701
first,1,female,23,82.266701
first,1,male,45,134.5
first,1,female,40,134.5
first,0,male,57,146.5208
first,1,female,,146.5208
first,1,male,32,30.5
first,0,male,62,26.549999
first,1,male,54,55.4417
first,1,female,43,55.4417
first,1,female,52,78.266701
first,0,male,,27.7208
first,1,female,62,80
first,0,male,67,221.77921
first,0,female,63,221.77921
first,0,male,61,32.320801
first,1,female,48,25.929199
first,1,female,18,79.650002
first,0,male,52,79.650002
first,1,female,39,79.650002
first,1,male,48,52
first,1,female,,52
first,0,male,49,110.8833
first,1,female,39,110.8833
first,1,female,,79.199997
first,1,male,31,28.5375
first,0,male,40,27.7208
first,0,male,61,33.5
first,0,male,47,34.020802
first,1,female,35,512.32922
first,0,male,64,75.25
first,1,female,60,75.25
first,0,male,60,26.549999
first,0,male,54,77.287498
first,0,male,21,77.287498
first,1,female,55,135.6333
first,1,female,31,164.8667
first,0,male,57,164.8667
first,1,female,45,164.8667
first,0,male,50,211.5
first,0,male,27,211.5
first,1,female,50,211.5
first,1,female,21,26.549999
first,0,male,51,61.3792
first,1,male,21,61.3792
first,0,male,,35
first,1,female,31,134.5
first,1,male,,35.5
first,0,male,62,26.549999
first,1,female,36,135.6333
second,0,male,30,24
second,1,female,28,24
second,0,male,30,13
second,0,male,18,11.5
second,0,male,25,10.5
second,0,male,34,26
second,1,female,36,26
second,0,male,57,13
second,0,male,18,11.5
second,0,male,23,10.5
second,1,female,36,13
second,0,male,28,10.5
second,0,male,51,12.525
second,1,male,32,26
second,1,female,19,26
second,0,male,28,26
second,1,female,36,39
second,1,male,34,13
second,1,female,19,13
second,0,male,23,13
second,0,male,26,13
second,0,male,42,13
second,0,male,27,13
second,1,female,24,13
second,0,male,60,39
second,1,female,40,39
second,1,female,20,26
second,0,male,25,26
second,1,female,36,13
second,0,male,25,13
second,0,male,42,13
second,1,female,42,13
second,1,male,26,29
second,1,female,22,29
second,1,female,35,21
second,0,male,,0
second,0,male,19,13
second,0,female,44,26
second,0,male,54,26
second,0,male,52,13.5
second,0,male,37,26
second,0,female,29,26
second,1,female,25,30
second,1,female,45,30
second,0,male,29,26
second,1,female,28,26
second,0,male,29,10.5
second,0,male,28,13
second,1,male,24,10.5
second,0,male,31,26.25
second,1,female,31,26.25
second,1,female,22,10.5
second,0,female,30,13
second,0,female,,21
second,0,male,21,11.5
second,0,male,,0
second,0,male,18,73.5
second,1,female,48,36.75
second,1,female,28,13
second,0,male,32,13
second,0,male,29,27.7208
second,1,female,24,27.7208
second,0,male,25,31.5
second,0,male,18,73.5
second,1,female,18,23
second,1,female,34,23
second,0,male,54,26
second,0,male,42,32.5
second,1,female,34,32.5
second,1,female,27,13.8583
second,1,female,30,13.8583
second,0,male,23,13
second,0,male,21,13
second,0,male,18,13
second,0,male,40,26
second,1,female,29,26
second,0,male,18,10.5
second,0,male,36,13
second,0,male,,0
second,0,female,38,13
second,0,male,35,26
second,0,male,38,21
second,0,male,34,21
second,1,female,34,13
second,0,male,26,10.5
second,0,male,47,10.5
second,0,male,21,11.5
second,0,male,21,11.5
second,0,male,24,13.5
second,0,male,24,13
second,0,male,34,13
second,0,male,30,13
second,0,male,52,13
second,0,male,30,13
second,1,female,24,14.5
second,0,male,44,13
second,0,male,28,33
second,1,male,62,10.5
second,0,male,30,10.5
second,0,male,43,26.25
second,1,female,45,26.25
second,1,female,24,65
second,1,female,24,65
second,0,male,49,65
second,1,female,48,65
second,1,female,55,16
second,0,male,24,73.5
second,0,male,32,73.5
second,0,male,21,73.5
second,0,female,18,13
second,1,female,20,23
second,0,male,23,11.5
second,0,male,36,13
second,1,female,54,23
second,0,male,50,13
second,0,male,44,26
second,1,female,29,26
second,0,male,21,73.5
second,1,male,42,13
second,0,male,63,26
second,0,female,60,26
second,0,male,33,12.275
second,0,male,42,27
second,1,female,24,27
second,0,male,47,15
second,0,male,24,31.5
second,0,male,22,31.5
second,0,male,32,10.5
second,1,female,23,13.7917
second,0,male,34,26
second,1,female,24,26
second,0,female,22,21
second,1,female,,12.35
second,0,male,35,12.35
second,1,female,45,13.5
second,0,male,57,12.35
second,0,male,,0
second,0,male,31,10.5
second,0,female,26,26
second,0,male,30,26
second,0,male,,10.7083
second,0,male,25,41.579201
second,1,female,22,41.579201
second,1,female,,33
second,1,female,34,10.5
second,0,male,36,12.875
second,0,male,24,10.5
second,0,male,61,12.35
second,0,male,50,26
second,1,female,42,26
second,0,female,57,10.5
second,0,male,,15.0458
second,0,male,31,37.0042
second,1,female,24,37.0042
second,0,male,,15.5792
second,0,male,30,13
second,0,male,40,16
second,0,male,32,13.5
second,0,male,30,13
second,0,male,46,26
second,1,female,41,19.5
second,1,male,19,10.5
second,0,male,39,13
second,0,male,48,13
second,0,male,70,10.5
second,0,male,27,13
second,0,male,54,14
second,0,male,39,26
second,0,male,62,9.6875
second,0,male,32.5,30.070801
second,0,male,36.5,26
second,0,male,26,13
second,0,male,19,36.75
second,0,male,28,13.5
second,1,male,20,13.8625
second,1,female,29,10.5
second,0,male,39,13
second,1,male,22,10.5
second,1,male,,13.8625
second,0,male,23,10.5
second,1,male,29,13.8583
second,0,male,28,10.5
second,0,male,,0
second,1,female,50,26
second,0,male,19,10.5
second,0,male,,15.05
second,0,male,41,13
second,1,female,21,21
second,1,female,19,26
second,0,male,43,21
second,1,female,32,13
second,0,male,34,13
second,1,male,30,12.7375
second,0,male,27,15.0333
second,1,female,33,26
second,0,male,36,10.5
second,0,male,34,21
second,1,female,30,21
second,1,female,28,13
second,0,male,23,15.0458
second,1,female,24,18.75
second,1,female,50,10.5
second,0,male,19,10.5
second,1,female,21,10.5
second,0,male,26,13
second,0,male,25,13
second,0,male,27,26
second,1,female,25,26
second,1,female,18,13
second,1,female,20,36.75
second,1,female,30,13
second,0,male,59,13.5
second,1,female,30,12.35
second,0,male,35,10.5
second,1,female,40,13
second,0,male,25,13
second,0,male,41,15.0458
second,0,male,25,10.5
second,0,male,18.5,13
second,1,female,50,10.5
second,0,male,23,13
second,1,female,28,12.65
second,1,female,27,10.5
second,0,male,29,21
second,0,female,27,21
second,0,male,40,13
second,1,female,31,21
second,0,male,30,21
second,0,male,23,10.5
second,1,female,31,21
second,0,male,,0
second,1,female,40,15.75
second,1,female,32.5,13
second,0,male,27,26
second,1,female,29,26
second,1,female,29,23
second,0,male,36,27.75
second,1,female,33,27.75
second,0,male,66,10.5
second,0,male,,12.875
second,1,male,31,13
second,1,male,,13
second,1,female,26,13.5
second,0,female,24,13
third,0,male,42,7.5500002
third,1,female,35,20.25
third,1,male,25,7.6500001
third,1,male,20,7.9250002
third,1,female,18,7.2291999
third,0,male,30,7.25
third,0,male,26,8.0500002
third,0,female,40,9.4750004
third,1,female,18,9.3500004
third,1,male,26,18.7875
third,0,male,26,7.8874998
third,0,male,20,7.9250002
third,0,male,24,7.0500002
third,0,male,25,7.0500002
third,0,male,35,8.0500002
third,0,male,18,8.3000002
third,0,male,32,22.525
third,1,female,19,7.8541999
third,0,female,38,7.7750001
third,0,male,39,31.275
third,1,male,27,7.7958002
third,0,male,26,7.7750001
third,0,female,39,31.275
third,0,male,20,7.8541999
third,0,male,26,7.8958001
third,0,male,25,17.799999
third,0,female,18,17.799999
third,0,male,24,7.7750001
third,0,male,35,7.0500002
third,0,male,40,31.387501
third,1,male,23,7.7958002
third,1,female,38,31.387501
third,1,female,45,7.2249999
third,0,male,21,7.2249999
third,0,male,23,7.0500002
third,0,male,30,7.2249999
third,0,male,23,7.8541999
third,0,male,20,7.2249999
third,0,male,32,15.85
third,1,female,33,15.85
third,1,female,24,19.258301
third,1,female,18,8.0500002
third,0,male,40,7.2249999
third,0,male,26,7.8958001
third,1,male,20,7.2291999
third,0,female,18,14.4542
third,0,female,45,14.4542
third,0,female,27,7.8792
third,0,male,22,8.0500002
third,0,male,19,8.0500002
third,0,male,26,7.7750001
third,0,male,22,9.3500004
third,0,male,,7.2291999
third,0,male,20,4.0124998
third,1,male,32,56.4958
third,0,male,21,7.7750001
third,0,male,18,7.75
third,0,male,26,7.8958001
third,0,male,,7.2249999
third,0,female,,15.2458
third,0,female,,7.75
third,0,male,40,15.5
third,0,female,32,15.5
third,0,male,21,16.1
third,1,female,22,7.7249999
third,0,female,20,7.8541999
third,0,male,29,7.0458002
third,0,male,22,7.25
third,0,male,22,7.7958002
third,0,male,35,8.0500002
third,0,female,18.5,7.2832999
third,1,male,21,7.8207998
third,0,male,19,6.75
third,0,female,18,7.8792
third,0,female,21,8.6625004
third,0,female,30,8.6625004
third,0,male,18,8.6625004
third,0,male,38,8.6625004
third,0,female,21,7.75
third,0,male,21,7.75
third,0,male,21,8.0500002
third,0,male,,14.4583
third,0,female,,14.4583
third,0,male,28,7.7958002
third,0,male,24,7.8541999
third,0,female,37,7.75
third,0,male,28,7.25
third,0,male,24,8.0500002
third,0,male,21,7.7333002
third,1,male,32,56.4958
third,0,male,29,8.0500002
third,0,male,26,14.4542
third,0,male,18,14.4542
third,0,male,20,7.0500002
third,1,male,18,8.0500002
third,0,male,24,7.25
third,0,male,36,7.4958
third,0,male,24,7.4958
third,0,male,31,7.7333002
third,0,male,31,7.75
third,1,female,22,7.75
third,0,female,30,7.6292
third,0,male,70.5,7.75
third,0,male,43,8.0500002
third,0,male,35,7.8958001
third,0,male,27,7.8958001
third,0,male,19,7.8958001
third,0,male,30,8.0500002
third,1,female,36,15.9
third,0,male,59,7.25
third,0,male,19,8.1583004
third,0,male,44,16.1
third,0,male,22.5,7.2249999
third,1,male,45,8.0500002
third,0,female,22,10.5167
third,0,male,19,10.1708
third,1,female,30,6.9499998
third,1,male,29,7.75
third,0,male,34,14.4
third,0,female,28,14.4
third,0,male,27,7.8958001
third,0,male,25,7.8958001
third,0,male,24,24.15
third,0,male,22,8.0500002
third,0,male,21,24.15
third,0,male,,16.1
third,1,female,,16.1
third,1,male,36.5,17.4
third,1,female,36,17.4
third,1,male,30,9.5
third,0,male,26,20.575001
third,1,female,33,20.575001
third,0,male,25,7.8958001
third,0,male,,7.8958001
third,0,male,,7.8958001
third,0,male,22,7.25
third,0,male,36,7.25
third,1,female,19,7.8792
third,0,male,42,8.6625004
third,0,male,43,7.8958001
third,0,male,,7.2291999
third,0,male,32,7.75
third,1,male,19,8.0500002
third,1,female,30,12.475
third,0,female,24,7.75
third,1,female,23,8.0500002
third,0,male,33,7.8958001
third,0,male,65,7.75
third,1,male,24,7.5500002
third,0,male,23,13.9
third,1,female,22,13.9
third,0,male,18,7.7750001
third,0,male,45,6.9749999
third,0,male,,7.2249999
third,0,male,39,7.2291999
third,0,male,47,7.25
third,0,male,,7.2249999
third,0,male,40.5,15.1
third,0,male,40.5,7.75
third,1,male,,7.0500002
third,0,male,18,7.7958002
third,0,female,,7.75
third,0,male,,7.75
third,0,male,,6.9499998
third,0,male,26,7.8792
third,0,male,,7.75
third,1,male,,56.4958
third,0,female,21,34.375
third,0,male,,8.0500002
third,0,male,18,34.375
third,0,female,48,34.375
third,0,male,,7.75
third,0,male,,7.25
third,0,male,25,7.7417002
third,0,male,,14.5
third,0,male,,7.8958001
third,0,male,22,8.0500002
third,1,female,,7.75
third,0,male,33,20.525
third,0,male,41,7.8499999
third,1,female,31,20.525
third,0,male,38,7.0500002
third,0,male,40,46.900002
third,0,female,43,46.900002
third,0,male,51,8.0500002
third,0,male,32,8.3625002
third,0,male,,8.0500002
third,0,male,20,9.8458004
third,0,male,37,7.9250002
third,0,male,28,7.9250002
third,0,male,19,7.7750001
third,0,female,24,8.8500004
third,0,male,,19.9667
third,0,male,,19.9667
third,0,male,28,15.85
third,1,female,24,15.85
third,0,male,20,9.5
third,0,male,23.5,7.2291999
third,0,male,41,14.1083
third,0,male,26,7.8541999
third,0,male,21,7.8541999
third,1,female,45,14.1083
third,0,female,,7.5500002
third,0,male,25,7.25
third,0,male,,6.8583002
third,1,female,,7.75
third,1,male,27,6.9749999
third,1,male,,56.4958
third,0,female,18,6.75
third,1,female,26,7.9250002
third,0,female,23,7.9250002
third,1,female,22,8.9624996
third,0,male,28,7.8958001
third,0,female,28,7.7750001
third,0,female,,7.75
third,1,female,22,12.2875
third,0,male,43,6.4499998
third,0,male,28,22.525
third,1,female,27,7.9250002
third,0,male,,7.75
third,1,female,,8.0500002
third,0,male,42,7.6500001
third,1,male,,7.8874998
third,0,male,30,7.2291999
third,0,male,,7.8958001
third,0,female,27,7.9250002
third,0,female,25,7.9250002
third,0,male,,7.8958001
third,1,male,29,7.8958001
third,1,male,21,7.7958002
third,0,male,,7.0500002
third,0,male,20,7.8541999
third,0,male,48,7.8541999
third,1,female,,7.75
third,1,male,,8.1125002
third,0,male,34,6.4958
third,1,male,26,7.7750001
third,0,male,22,7.7958002
third,0,male,33,8.6541996
third,0,male,31,7.7750001
third,0,male,29,7.8541999
third,0,male,49,0
third,0,male,33,7.7750001
third,0,male,19,0
third,1,female,27,11.1333
third,0,male,,23.450001
third,0,female,,23.450001
third,0,male,,23.450001
third,0,female,,23.450001
third,0,male,23,7.8958001
third,1,male,32,7.8541999
third,0,male,27,7.8541999
third,0,female,20,9.8249998
third,0,female,21,9.8249998
third,1,male,32,7.9250002
third,0,male,21,8.4333
third,0,male,30,7.8958001
third,1,male,21,7.7958002
third,0,male,33,7.8541999
third,0,male,22,7.5208001
third,1,male,39,13.4167
third,0,male,,7.2291999
third,0,male,18.5,7.2291999
third,0,male,,7.75
third,0,male,,7.25
third,1,female,,7.75
third,1,female,,7.75
third,0,male,34.5,7.8291998
third,0,male,44,8.0500002
third,1,male,,7.75
third,0,male,,14.4542
third,0,female,,14.4542
third,0,male,,7.75
third,0,male,,7.75
third,0,male,,7.7375002
third,0,female,22,8.6625004
third,0,male,26,8.6625004
third,1,male,29,22.025
third,1,female,26,22.025
third,0,male,18,7.8541999
third,0,female,36,12.1833
third,0,male,,7.8958001
third,1,male,25,7.2291999
third,0,male,,7.2249999
third,0,female,37,9.5874996
third,0,male,,7.8958001
third,1,male,,56.4958
third,0,male,,56.4958
third,1,female,22,7.25
third,0,male,,7.75
third,1,male,26,56.4958
third,0,male,29,9.4833002
third,0,male,29,7.7750001
third,0,male,22,7.7750001
third,1,male,22,7.2249999
third,0,male,,25.4667
third,0,female,,25.4667
third,0,female,,25.4667
third,0,female,,25.4667
third,0,female,,25.4667
third,0,male,32,7.9250002
third,0,male,34.5,6.4375
third,0,female,,15.5
third,0,male,,15.5
third,0,male,36,0
third,0,male,39,24.15
third,0,male,24,9.5
third,0,female,25,7.7750001
third,0,female,45,7.75
third,0,male,36,15.55
third,0,female,30,15.55
third,1,male,20,7.9250002
third,0,male,,7.8792
third,0,male,28,56.4958
third,0,male,,7.5500002
third,0,male,30,16.1
third,0,female,26,16.1
third,0,male,,7.8792
third,0,male,20.5,7.25
third,1,male,27,8.6625004
third,0,male,51,7.0542002
third,1,female,23,7.8541999
third,1,male,32,7.5791998
third,0,male,,7.8958001
third,0,male,,7.5500002
third,1,female,,7.75
third,1,male,24,7.1416998
third,0,male,22,7.125
third,0,female,,7.8792
third,0,male,,7.75
third,0,male,,8.0500002
third,0,male,29,7.9250002
third,1,male,,7.2291999
third,0,female,30.5,7.75
third,1,female,,7.7375002
third,0,male,,7.2291999
third,0,male,35,7.8958001
third,0,male,33,7.8958001
third,1,female,,7.2249999
third,0,male,,7.8958001
third,1,female,,7.75
third,1,male,,7.75
third,1,female,,23.25
third,1,female,,23.25
third,1,male,,23.25
third,1,female,,7.7874999
third,0,male,,15.5
third,1,female,,7.8792
third,0,female,35,7.75
third,0,male,,7.75
third,0,male,24,16.1
third,0,female,19,16.1
third,0,female,,7.75
third,0,female,,8.0500002
third,0,female,,8.0500002
third,0,male,55.5,8.0500002
third,0,male,,7.75
third,1,male,21,7.7750001
third,0,male,,8.0500002
third,0,male,24,7.8958001
third,0,male,21,7.8958001
third,0,male,28,7.8958001
third,0,male,,7.8958001
third,1,female,,7.8792
third,0,male,25,7.6500001
third,1,female,27,12.475
third,0,male,,8.0500002
third,1,female,,24.15
third,0,male,,24.15
third,0,male,,8.4582996
third,0,male,34,8.0500002
third,0,male,,7.75
third,1,male,,7.7750001
third,1,male,,15.2458
third,1,male,,15.2458
third,1,female,,15.2458
third,1,female,,7.2291999
third,0,male,,8.0500002
third,1,female,,7.7333002
third,1,female,24,7.75
third,0,male,,8.0500002
third,1,female,,15.5
third,1,female,,15.5
third,1,female,,15.5
third,0,male,18,7.75
third,0,male,22,7.8958001
third,1,male,20,15.7417
third,1,female,19,15.7417
third,0,male,33,8.0500002
third,0,male,,7.8958001
third,0,male,,7.2291999
third,0,female,,7.75
third,0,male,,7.8958001
third,0,female,29,7.9250002
third,0,male,28,8.0500002
third,1,female,18,7.7750001
third,1,female,26,7.8541999
third,0,male,21,7.8541999
third,0,male,41,7.125
third,1,male,39,7.9250002
third,0,male,21,7.8000002
third,0,male,28.5,7.2291999
third,1,female,22,7.75
third,0,male,61,6.2375002
third,0,male,,15.5
third,0,male,,7.8291998
third,1,female,,15.5
third,0,male,,7.7333002
third,0,male,,7.75
third,0,male,,7.75
third,0,male,23,9.2250004
third,0,female,,7.75
third,1,female,,7.75
third,1,female,,7.8792
third,1,female,22,7.7750001
third,1,male,,7.75
third,1,female,,7.8291998
third,0,male,28,22.525
third,0,male,42,8.4041996
third,0,male,,7.3125
third,0,female,31,7.8541999
third,0,male,28,7.8541999
third,1,male,32,7.7750001
third,0,male,20,9.2250004
third,0,female,23,8.6625004
third,0,female,20,8.6625004
third,0,male,20,8.6625004
third,1,female,31,8.6833
third,0,female,,7.6292
third,0,female,29,21.075001
third,0,female,41,39.6875
third,0,male,21,8.6625004
third,0,male,19,14.5
third,0,male,,8.7124996
third,0,male,32,7.8958001
third,0,female,26,13.775
third,0,male,,7
third,0,male,,7.7750001
third,0,male,,8.0500002
third,0,male,21,7.9250002
third,0,male,25,7.9250002
third,0,male,22,7.25
third,1,male,25,7.7750001
third,1,male,,22.358299
third,1,female,,22.358299
third,1,female,,22.358299
third,0,female,,8.1374998
third,0,male,24,8.0500002
third,0,female,28,7.8958001
third,0,male,19,7.8958001
third,0,male,,7.8958001
third,0,male,25,7.7750001
third,0,female,18,7.7750001
third,1,male,32,8.0500002
third,0,male,,7.8958001
third,0,male,24,8.6625004
third,0,male,,7.8958001
third,0,female,,8.1125002
third,0,male,,7.2291999
third,0,male,,7.25
third,0,male,38,7.8958001
third,0,male,21,8.0500002
third,0,female,39,29.125
third,0,female,22,39.6875
third,0,male,35,7.125
third,1,female,,7.7207999
third,0,male,,14.5
third,0,female,,14.5
third,0,male,50,14.5
third,0,female,47,14.5
third,0,male,,8.0500002
third,0,male,,7.7750001
third,0,male,18,20.2125
third,0,female,41,20.2125
third,1,female,,8.0500002
third,0,male,50,8.0500002
third,1,male,,7.75
third,0,male,,24.15
third,0,male,,7.2291999
third,0,male,25,7.2249999
third,0,male,,7.2249999
third,0,male,,7.7291999
third,0,male,,7.5749998
third,0,male,38.5,7.25
third,0,male,,69.550003
third,0,female,,69.550003
third,0,female,,69.550003
third,0,female,,69.550003
third,0,female,,69.550003
third,0,male,,69.550003
third,0,male,,69.550003
third,0,male,,69.550003
third,0,male,,69.550003
third,0,female,,69.550003
third,0,male,24,9.3249998
third,1,female,21,7.6500001
third,0,male,39,7.9250002
third,0,male,,21.679199
third,0,male,,21.679199
third,0,male,,21.679199
third,1,female,24,16.700001
third,1,male,25,9.5
third,0,male,20,8.0500002
third,0,male,24.5,8.0500002
third,0,male,,7.7249999
third,0,male,,7.8958001
third,0,male,,7.75
third,1,male,29,9.5
third,0,male,,15.1
third,1,female,,7.7792001
third,0,male,,8.0500002
third,0,male,,8.0500002
third,0,male,22,7.2291999
third,0,male,,8.0500002
third,0,male,40,7.8958001
third,0,male,21,7.9250002
third,1,female,18,7.4958
third,0,male,40,27.9
third,0,female,45,27.9
third,0,male,,7.8958001
third,0,male,,8.0500002
third,0,male,,8.6625004
third,0,male,,7.75
third,1,female,,7.7333002
third,0,male,19,7.6500001
third,0,male,30,8.0500002
third,0,male,,8.0500002
third,0,male,32,8.0500002
third,0,male,,7.8958001
third,0,male,33,8.6625004
third,1,female,23,7.5500002
third,0,male,21,8.0500002
third,0,male,60.5,
third,0,male,19,7.8958001
third,0,female,22,9.8374996
third,1,male,31,7.9250002
third,0,male,27,8.6625004
third,0,female,29,10.4625
third,1,male,44,7.9250002
third,0,male,25,7.0500002
third,0,male,74,7.7750001
third,0,male,24,7.7958002
third,1,male,25,7.7958002
third,0,male,34,8.0500002
third,0,male,,6.4375
third,0,male,,6.4375
third,0,male,,7.2249999
third,0,male,,8.0500002
third,0,male,,16.1
third,1,female,,16.1
third,0,male,32,7.9250002
third,0,male,,7.75
third,0,male,,7.8958001
third,0,male,30.5,8.0500002
third,0,male,44,8.0500002
third,0,male,,7.2291999
third,1,male,25,0
third,0,male,,7.2291999
third,1,female,29,15.2458
third,0,male,36,7.8958001
third,1,female,18,9.8416996
third,1,female,63,9.5874996
third,0,male,,14.5
third,0,male,40.5,14.5
third,0,male,36,24.15
third,0,female,30,24.15
third,0,male,,9.5
third,0,male,33,9.5
third,0,male,28,9.5
third,0,male,28,9.5
third,0,male,47,9
third,0,female,18,18
third,0,male,31,18
third,0,female,31,18
third,1,male,22,7.2249999
third,0,male,20,7.8541999
third,0,male,22,7.8958001
third,0,male,22,9
third,0,male,,8.0500002
third,0,male,,7.5500002
third,0,male,,8.0500002
third,0,male,32.5,9.5
third,1,female,38,7.2291999
third,0,male,51,7.75
